Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,max_depth,learning_rate,n_estimators,reg_lambda,gamma,colsample_bytree,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
55,235,1,1dpos,raw,WTE,XG,,,7,0.0447012277176133,300,0.0026498860984404,2.406448918213212,0.7585875229409684,0.9791500296501284,0.0005405830446517,0.979916979640245,0.000108266961357,0.9780589049219212,0.0002795440921868,0.0,0.0,0.9800355801541808,0.6278235459663578,0.979916979640245
56,236,1,1dpos,raw,onehot,XG,,,7,0.0160208101923633,300,0.0015912520852863,0.1451578152196202,0.8390088949110087,0.9790511958885156,0.0005121793076269,0.9797983791263096,8.839960377543491e-05,0.977979837912631,0.0005154538371379,0.02,0.2,0.9798379126309548,0.6258155467720685,0.9797983791263096
57,237,1,1dpos,zone,5FTE,XG,,,6,0.0629477986472895,500,0.0006835027934321,0.6663757953675029,0.888406982824455,0.9794623443368252,0.0004661444672639,0.9801146471634712,0.000108266961357,0.978612373986954,0.0005303976226526,0.02,0.2,0.9802332476774066,0.6358242735914545,0.9801146471634712
58,238,1,1dpos,zone,WTE,XG,,,6,0.0597776761034018,350,0.0012428439498653,0.035557561150837,0.7906549304778536,0.9795848982012254,0.0004034014950087,0.9801146471634712,0.000108266961357,0.9787705080055348,0.000433067845428,0.0,0.0,0.9802332476774066,0.6353048250827016,0.9801146471634712
59,239,1,1dpos,zone,onehot,XG,,,8,0.0682129444686477,400,0.0029831174462867,0.1244414183028754,0.7156209818356557,0.979359557224748,0.0004892469841279,0.9802332476774064,0.0002420922853116,0.9784542399683732,0.0003423701932336,0.0,0.0,0.9806285827238584,0.6387114555384131,0.9802332476774064
60,240,1,cyclic,2dpos,5FTE,XG,16.0,5000.0,8,0.0264336148901873,400,0.2726317322802807,0.9625932098373112,0.6538730079258347,0.978292152599328,0.0005769033992591,0.9791263095473411,0.000108266961357,0.9770705673057916,0.0003423701932336,0.1,1.0,0.9792449100612768,0.6174812011744374,0.9791263095473411
61,241,1,cyclic,2dpos,WTE,XG,16.0,5000.0,6,0.0501152151899968,350,0.0003061780220683,0.9402326154860176,0.9521176125487572,0.978126111879818,0.0004616063350434,0.9788495750148252,0.0001976675232259,0.9772682348290176,0.0001976675232259,0.14,1.0,0.979047242538051,0.6149175756527063,0.9788495750148252
62,242,1,cyclic,2dpos,onehot,XG,16.0,5000.0,10,0.0252152103212163,400,0.6018822971017608,0.6252407695399301,0.9378607989735116,0.978284245898399,0.0005160877093146,0.9791263095473411,0.000108266961357,0.9774263688475984,0.0002577269185689,0.12,1.0,0.9792449100612768,0.6206866371016714,0.9791263095473411
63,243,1,cyclic,elliptic,5FTE,XG,,,6,0.0560339564946185,400,0.0638522237251569,0.0433951794055521,0.980188377593724,0.9786637675429928,0.0006127237747953,0.9796007116030836,0.000257726918569,0.9775054358568888,0.0003802210725769,0.0,0.0,0.9800355801541808,0.6273271424935788,0.9796007116030836
64,244,1,cyclic,elliptic,WTE,XG,,,7,0.0673255314356354,250,0.0004729988587619,0.0105720477334908,0.9415449885176242,0.9789088752717928,0.000635516755707,0.979916979640245,0.0002253756523224,0.977782170389405,0.0001767992075509,0.0,0.0,0.9802332476774066,0.6422383546951324,0.979916979640245
65,245,1,cyclic,elliptic,onehot,XG,,,10,0.0355903753891192,300,0.0036378062378209,0.0600678057142932,0.9247857880896118,0.978995848982012,0.0005516363092991,0.9800355801541808,0.0001976675232259,0.9780984384265664,0.000257726918569,0.0,0.0,0.9802332476774066,0.6401059323852663,0.9800355801541808
66,246,1,cyclic,polar,5FTE,XG,,,10,0.0212728985455084,500,0.0016047266058803,0.0725657589857069,0.8051280301804206,0.979284443565922,0.0006043242470006,0.9802332476774064,0.0001397720460933,0.9781379719312115,0.0003307610304542,0.0,0.0,0.9804309152006324,0.6480024157303613,0.9802332476774064
67,247,1,cyclic,polar,WTE,XG,,,5,0.0423430077591662,500,0.0166789244711336,0.1307684796260126,0.8367206355430915,0.9792883969163868,0.0005180616371198,0.980075113658826,0.0002577269185689,0.9782565724451472,0.0001976675232259,0.0,0.0,0.9804309152006324,0.6445728726266282,0.980075113658826
68,248,1,cyclic,polar,onehot,XG,,,10,0.0591507234048697,450,0.0002536707819035,0.1814276341681459,0.7826165777212563,0.9794069974303222,0.0006025932422017,0.9805495157145682,0.0001767992075508,0.9783751729590828,0.0002253756523224,0.0,0.0,0.9808262502470844,0.6554922015332617,0.9805495157145682
69,249,1,cyclic,raw,5FTE,XG,,,8,0.0490941461418137,350,0.0017873076223345,0.06912501321949,0.6905534092322484,0.9794979244910064,0.0007031713094857,0.9804704487052778,8.839960377543491e-05,0.9782565724451472,0.0002795440921868,0.0,0.0,0.9806285827238584,0.6492949363571412,0.9804704487052778
70,250,1,cyclic,raw,WTE,XG,,,7,0.0565999093817614,400,0.0299632308847226,0.025042572689903,0.8436262927751382,0.9795018778414706,0.00081963828389,0.9806681162285036,0.0001653805152271,0.9779798379126308,0.0004098921002832,0.0,0.0,0.9808262502470844,0.6539902262618799,0.9806681162285036
71,251,1,cyclic,raw,onehot,XG,,,10,0.0749547149346426,300,0.1391039623977787,0.0102328752421725,0.6907102340390888,0.9795611780984383,0.0007065199787194,0.9806681162285036,0.0002577269185689,0.978217038940502,0.000324800884071,0.0,0.0,0.9810239177703104,0.655417682707647,0.9806681162285036
72,252,1,cyclic,zone,5FTE,XG,,,10,0.0947364459407403,100,0.0038259630627312,0.0191734490483109,0.986196882101197,0.9792607234631352,0.0004260884107838,0.9798379126309548,1.2412670766236366e-16,0.9784542399683732,0.0002420922853116,0.0,0.0,0.9798379126309548,0.6379648479289483,0.9798379126309548
73,253,1,cyclic,zone,WTE,XG,,,7,0.0918683783364449,400,0.3244817224849274,0.1383131112797064,0.8815103716032079,0.979375370626606,0.0006309330369452,0.9804704487052778,0.000216533922714,0.9783751729590828,0.0001767992075508,0.0,0.0,0.9808262502470844,0.6512503824099924,0.9804704487052778
74,254,1,cyclic,zone,onehot,XG,,,10,0.0342440273468077,400,0.0274881658919856,0.1051371100604902,0.6560796015792474,0.9792488634117416,0.000635817817706,0.980312314686697,0.0002253756523224,0.9779798379126308,0.000433067845428,0.0,0.0,0.9806285827238584,0.6478589627921741,0.980312314686697
75,255,1,raw,2dpos,5FTE,XG,16.0,5000.0,7,0.0183704934588268,350,0.0015436921541052,0.334263775592884,0.7658380072091262,0.9783000593002572,0.0005967424256184,0.979086776042696,0.0001653805152271,0.9770705673057916,0.0004841845706232,0.08,0.8,0.9792449100612768,0.616490535986357,0.979086776042696
76,256,1,raw,2dpos,WTE,XG,16.0,5000.0,7,0.0199370091571189,450,0.18945380693424,0.0238041011594737,0.6026968014406058,0.978406799762799,0.0004563072290226,0.979086776042696,0.000216533922714,0.977544969361534,0.0002651988113263,0.4,1.0,0.9794425775845028,0.6149495748481053,0.979086776042696
77,257,1,raw,2dpos,onehot,XG,16.0,5000.0,7,0.0172981111181101,450,0.0107325523471277,0.4075293323925203,0.6780610238185198,0.9784819134216248,0.0005019894211075,0.9792449100612768,0.0001397720460933,0.977544969361534,0.0001767992075508,0.2,1.0,0.9794425775845028,0.6170662068281871,0.9792449100612768
