Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,kernel,C,class_weight,gamma,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5,degree,coef0
14,14,0,1dpos,zone,onehot,SV,,,poly,2.3295986132601474,,0.0658504779132429,0.9533860446728604,0.0758530004744388,0.9786519074915992,0.0,0.792844435659221,0.1792986632951655,2.76,10.8,0.9786519074915992,0.6030802139037433,0.9786519074915992,2.0,0.4944117696578287
16,16,0,cyclic,2dpos,WTE,SV,16.0,5000.0,rbf,5.697732611575786,,0.0297236777264688,0.930258944455426,0.1596340318147143,0.9772287013243725,0.0001653805152271,0.5807076497331488,0.3755721278193031,5.0,21.4,0.9774659023522436,0.574369055684046,0.9772287013243725,,
69,69,1,cyclic,raw,5FTE,SV,,,poly,1.173864922131853,,0.4185138086642007,0.9578533306977662,0.0335168798709193,0.978414706463728,8.839960377543491e-05,0.8741648547143704,0.0071797132909125,6.1,30.6,0.9784542399683732,0.6002941097831609,0.978414706463728,3.0,0.185132465122177
47,47,1,1dpos,2dpos,onehot,SV,16.0,5000.0,linear,9.267631718783392,,,0.9570389405020756,0.0369832823636975,0.9753706266060488,0.000108266961357,0.8557817750543586,0.0016335998032334,10.9,70.0,0.9754892271199842,0.5174886417981827,0.9753706266060488,,
20,20,0,cyclic,elliptic,onehot,SV,,,poly,1.1411981585028987,,0.1846661977262489,0.9596402451077288,0.0341632415026353,0.9780984384265664,8.839960377543491e-05,0.8708045068195295,0.0284217442748333,2.62,14.6,0.9782565724451472,0.5910816612060815,0.9780984384265664,2.0,0.4819504916640234
17,17,0,cyclic,2dpos,onehot,SV,16.0,5000.0,rbf,6.219342063777536,,0.0207170826411411,0.94874876457798,0.0875274066766863,0.9779403044079858,0.000108266961357,0.7570270804506819,0.2049668010702069,3.94,20.2,0.9780589049219214,0.5803633472368558,0.9779403044079858,,
18,18,0,cyclic,elliptic,5FTE,SV,,,rbf,1.2421961868676723,,0.1952352380293129,0.9517098240759044,0.0493905436672844,0.9779007709033406,0.0001653805152271,0.840640442775252,0.0658148853125187,1.48,6.2,0.9780589049219214,0.5808410008594888,0.9779007709033406,,
23,23,0,cyclic,polar,onehot,SV,,,rbf,6.043245841528231,,0.0592429688568616,0.9450405218422614,0.1022279090988868,0.9781379719312115,0.000108266961357,0.7650919153983,0.2783045571294909,2.18,10.0,0.9782565724451472,0.5867925734101368,0.9781379719312115,,
21,21,0,cyclic,polar,5FTE,SV,,,poly,0.3086918562972959,,0.1474187543130585,0.9544929828029256,0.0355308665401079,0.9776240363708242,8.839960377543491e-05,0.8744020557422415,0.0120582049746653,3.66,16.4,0.9776635698754694,0.6005225685740643,0.9776240363708242,4.0,0.4657553758459515
24,24,0,cyclic,raw,5FTE,SV,,,rbf,3.944898926585794,,0.1388136248366989,0.958019371417276,0.0318330991379356,0.9785333069776636,0.0001767992075508,0.8813994860644396,0.0053625854778614,1.42,5.2,0.9788495750148252,0.5946411249574608,0.9785333069776636,,
49,49,1,1dpos,elliptic,WTE,SV,,,rbf,1.593637750508508,,0.0708646560316689,0.9439731172168412,0.1340044082919118,0.9778217038940502,0.0001653805152271,0.7120774856691046,0.3793273916869831,2.46,14.0,0.9780589049219214,0.584317418940745,0.9778217038940502,,
48,48,1,1dpos,elliptic,5FTE,SV,,,poly,0.1293826415172253,,0.9266612489549412,0.9443249654081834,0.0938812966155059,0.9784542399683732,0.0002420922853116,0.7112472820715556,0.1784085678464066,2.68,11.8,0.9786519074915992,0.5914409619554505,0.9784542399683732,2.0,0.4335607192296699
19,19,0,cyclic,elliptic,WTE,SV,,,poly,3.714568694882132,,0.6566219082190963,0.9607867167424392,0.0306502637599313,0.9779007709033404,0.000324800884071,0.8815971535876654,0.0130318226962851,10.3,83.8,0.9782565724451472,0.5844312218466368,0.9779007709033404,2.0,0.151344104909552
22,22,0,cyclic,polar,WTE,SV,,,rbf,1.8235399135155104,,0.1974346143607818,0.9457639849772684,0.098206795802695,0.977782170389405,0.0001767992075509,0.7402253409764776,0.2361196027648062,1.4,5.8,0.9780589049219214,0.5817460023771105,0.977782170389405,,
29,29,0,cyclic,zone,onehot,SV,,,rbf,1.1608179413858584,,0.1011304996206541,0.9596244317058706,0.0329525313783019,0.9788100415101798,8.839960377543491e-05,0.8772089345720498,0.0154366819368288,2.7,11.0,0.9788495750148252,0.5977632933104631,0.9788100415101798,,
28,28,0,cyclic,zone,WTE,SV,,,rbf,1.9094299097478704,,0.1981084194712561,0.9419681096395861,0.08303620802663637,0.9784147064637281,0.0001653805152271228,0.7581340185807472,0.15456706742237325,0.75,7.2,0.9786519074915991,0.5920884107867407,0.9784147064637281,,
