Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
35,125,0,raw,elliptic,onehot,RF,,,350,25,7,3,sqrt,0.9086340455620164,0.9787309745008892,0.0008875968511846,0.9796402451077288,0.0,0.9765961652500492,0.0009744026522131,15.92,27.0,0.9796402451077288,0.6142322097378277,0.9796402451077288
74,164,1,cyclic,zone,onehot,RF,,,650,15,4,1,sqrt,0.9029939525661624,0.978185412136786,0.0016738190086026,0.979679778612374,8.839960377543491e-05,0.974184621466693,0.0016865569486223,1.08,2.0,0.9798379126309548,0.6199295757663459,0.979679778612374
75,165,1,raw,2dpos,5FTE,RF,16.0,5000.0,400,20,6,2,sqrt,0.9173480096735738,0.9770112670488238,0.0012199759736383,0.9778612373986956,1.2412670766236366e-16,0.9740660209527574,0.0013935209908689,0.56,1.4,0.9778612373986952,0.5661516029045648,0.9778612373986956
76,166,1,raw,2dpos,WTE,RF,16.0,5000.0,400,45,10,3,sqrt,0.821625028631195,0.9769756868946432,0.0013216209875561,0.9778612373986956,1.2412670766236366e-16,0.9735916188970152,0.0011058786899149,0.74,1.6,0.9778612373986952,0.5631782945736434,0.9778612373986956
77,167,1,raw,2dpos,onehot,RF,16.0,5000.0,400,20,2,1,sqrt,0.7202792428238524,0.9769005732358174,0.0014085238792164,0.9779007709033406,8.839960377548457e-05,0.9733939513737891,0.0014699341721745,1.42,2.0,0.9780589049219214,0.5649425287356322,0.9779007709033406
78,168,1,raw,elliptic,5FTE,RF,,,350,35,3,1,log2,0.9554328048309914,0.9782842458983988,0.0007947039192168,0.9790077090334058,8.839960377543491e-05,0.976477564736114,0.0005039552790663,0.48,1.4,0.979047242538051,0.6065022480631596,0.9790077090334058
79,169,1,raw,elliptic,WTE,RF,,,200,35,10,1,log2,0.9965878695752224,0.9784226131646568,0.0008216884637606,0.9790472425380512,1.2412670766236366e-16,0.9765961652500492,0.0006187972264281,1.16,2.0,0.979047242538051,0.6040042701472395,0.9790472425380512
80,170,1,raw,elliptic,onehot,RF,,,1000,20,3,1,log2,0.882685144568363,0.9784265665151212,0.0008357844588331,0.979284443565922,8.839960377543491e-05,0.9765566317454042,0.0006644687216434,1.42,2.0,0.9794425775845028,0.6108210429979509,0.979284443565922
81,171,1,raw,polar,5FTE,RF,,,450,15,3,2,sqrt,0.830077002759105,0.978703301047638,0.0005126772641716,0.9792449100612768,0.0,0.9774659023522436,0.000463571433072,0.46,1.4,0.9792449100612768,0.6125461254612546,0.9792449100612768
82,172,1,raw,polar,WTE,RF,,,400,15,4,1,log2,0.7829004741031529,0.9786519074915992,0.000492350147521,0.9790472425380512,1.2412670766236366e-16,0.9773868353429532,0.000433067845428,0.64,1.4,0.979047242538051,0.6062354892205638,0.9790472425380512
83,173,1,raw,polar,onehot,RF,,,300,20,5,2,sqrt,0.6949223055030231,0.9786440007906704,0.0004890350583297,0.9790472425380512,1.2412670766236366e-16,0.9773868353429532,0.000433067845428,0.62,1.6,0.979047242538051,0.6056495301271421,0.9790472425380512
84,174,1,raw,raw,5FTE,RF,,,800,45,4,1,log2,0.9643247172455072,0.9788060881597151,0.0008098905910703,0.9797193121170192,0.0001767992075509,0.9768333662779206,0.0006156320024667,1.32,2.0,0.9798379126309548,0.6168565917000561,0.9797193121170192
85,175,1,raw,raw,WTE,RF,,,850,50,3,1,log2,0.9772383667809738,0.9788653884166832,0.0008820454863628,0.979916979640245,0.000108266961357,0.9767542992686302,0.0006644687216434,1.26,2.0,0.9800355801541808,0.6220197648683472,0.979916979640245
36,126,0,raw,polar,5FTE,RF,,,800,15,10,1,sqrt,0.9993682701359136,0.9789760822296898,0.0006066420960653,0.9795216445937932,0.000108266961357,0.9773868353429532,0.0006028049291155,18.5,30.8,0.9796402451077288,0.6128570629996087,0.9795216445937932
86,176,1,raw,raw,onehot,RF,,,850,40,2,1,sqrt,0.8437548346532924,0.9787705080055348,0.0006835748700708,0.9794030440798578,0.000257726918569,0.977149634315082,0.0007071968302035,1.18,2.0,0.9798379126309548,0.6086836622690542,0.9794030440798578
87,177,1,raw,zone,5FTE,RF,,,1000,35,9,1,sqrt,0.9797182711190134,0.979205376556632,0.0006718085027176,0.9798774461356,0.000216533922714,0.9776635698754694,0.0008502001647601,1.14,2.0,0.9802332476774066,0.6227803791500016,0.9798774461356
88,178,1,raw,zone,WTE,RF,,,350,40,2,3,sqrt,0.998389358823907,0.9790828226922316,0.0007316804993773,0.979916979640245,0.0001767992075508,0.9772287013243725,0.0008432784743112,0.5,1.6,0.9800355801541808,0.6275494135474056,0.979916979640245
89,179,1,raw,zone,onehot,RF,,,200,30,3,1,sqrt,0.6819841924851887,0.9778375172959084,0.0017387222451531,0.9794425775845028,0.0,0.9734730183830796,0.0010589519854499,0.5,1.6,0.9794425775845028,0.6119402985074627,0.9794425775845028
37,127,0,raw,polar,WTE,RF,,,350,25,2,1,log2,0.7863852324766696,0.9789998023324769,0.0006168095531686,0.9798774461356,8.839960377543491e-05,0.9775845028661792,0.0004760464352161,12.74,25.2,0.9800355801541808,0.6232390323903239,0.9798774461356
38,128,0,raw,polar,onehot,RF,,,1000,45,2,1,log2,0.9812686415062216,0.97876655465507,0.0008695262068181,0.9797983791263096,8.839960377543491e-05,0.9768728997825656,0.00085020016476,22.62,33.8,0.9798379126309548,0.6211978521272201,0.9797983791263096
39,129,0,raw,raw,5FTE,RF,,,200,15,5,1,sqrt,0.8810360253296143,0.9787942281083218,0.0005114782360189,0.9792449100612768,0.0,0.9775845028661792,0.0003853249395062,18.36,28.6,0.9792449100612768,0.6102415670996859,0.9792449100612768
40,130,0,raw,raw,WTE,RF,,,750,25,4,1,sqrt,0.9585945363179886,0.9787230677999604,0.0004854345906179,0.979284443565922,8.839960377543491e-05,0.977544969361534,0.0002997776415912,20.44,29.8,0.9794425775845028,0.6106953049703978,0.979284443565922
41,131,0,raw,raw,onehot,RF,,,300,30,3,1,log2,0.963556377122397,0.9785688871318442,0.0007440006742277,0.9793239770705672,0.000108266961357,0.9769519667918564,0.0012470298711671,12.64,25.8,0.9794425775845028,0.6088210632232098,0.9793239770705672
42,132,0,raw,zone,5FTE,RF,,,500,15,2,1,log2,0.9953014582338764,0.979007709033406,0.0004987863703344,0.979482111089148,8.839960377548457e-05,0.9778217038940502,0.0007316369054485,14.44,25.8,0.9796402451077288,0.6135472164168829,0.979482111089148
43,133,0,raw,zone,WTE,RF,,,650,40,5,2,log2,0.9139585434253,0.9791263095473416,0.0004622795454704,0.9795216445937932,0.000108266961357,0.978019371417276,0.0004285329786258,18.56,27.8,0.9796402451077288,0.6168619351912594,0.9795216445937932
44,134,0,raw,zone,onehot,RF,,,200,35,7,1,sqrt,0.7502271020806723,0.9782842458983988,0.001646561727241,0.979482111089148,8.839960377548457e-05,0.9737892864202412,0.0014088578518446,15.66,26.8,0.9796402451077288,0.6106480354836445,0.979482111089148
45,135,1,1dpos,2dpos,5FTE,RF,16.0,5000.0,550,50,7,2,sqrt,0.9656045922925331,0.9766510280728224,0.0017050054018457,0.9780193714172762,8.839960377548457e-05,0.972682348290176,0.0007044289259223,12.673469387755102,26.2,0.9780589049219214,0.567216020912519,0.9780193714172762
46,136,1,1dpos,2dpos,WTE,RF,16.0,5000.0,650,35,4,2,sqrt,0.9528266204370532,0.9768491796797786,0.0016026973493872,0.9779403044079856,0.0001767992075509,0.9728404823087567,0.0010515466359573,1.16,2.0,0.9782565724451472,0.5656482894854988,0.9779403044079856
47,137,1,1dpos,2dpos,onehot,RF,16.0,5000.0,750,40,3,1,sqrt,0.7228197978012953,0.9767305791658432,0.0014265415401868,0.9779007709033406,8.839960377548457e-05,0.9734334848784344,0.0006187972264281,0.98,2.0,0.9780589049219214,0.5683346111253088,0.9779007709033406
48,138,1,1dpos,elliptic,5FTE,RF,,,750,50,4,1,sqrt,0.8616816861839699,0.9780272781182052,0.0006638804358073,0.9787309745008896,0.000108266961357,0.9766356987546946,0.0008077808555723,1.04,2.0,0.9788495750148252,0.591183245686482,0.9787309745008896
49,139,1,1dpos,elliptic,WTE,RF,,,400,35,7,2,log2,0.9557010180059504,0.9780391381695988,0.0006215615932865,0.9786519074915992,0.0,0.9765961652500492,0.0008339601940987,0.84,2.0,0.9786519074915992,0.5877862595419847,0.9786519074915992
50,140,1,1dpos,elliptic,onehot,RF,,,750,45,2,1,log2,0.7645958567190341,0.9780114647163471,0.0008532989440151,0.9789681755287608,0.000108266961357,0.9760031626803716,0.0007208769531057,1.1,2.0,0.979047242538051,0.5969673708170014,0.9789681755287608
51,141,1,1dpos,polar,5FTE,RF,,,900,50,4,1,sqrt,0.8674137529199317,0.9782130855900376,0.0006685841554692,0.9790077090334058,8.839960377543491e-05,0.9766752322593396,0.0008269025761356,1.32,2.0,0.979047242538051,0.6010531947847146,0.9790077090334058
52,142,1,1dpos,polar,WTE,RF,,,350,25,4,1,sqrt,0.9942151322185706,0.9781972721881796,0.0008029292750183,0.9789681755287608,0.0001767992075508,0.9761217631943072,0.0007832224849242,0.62,1.8,0.9792449100612768,0.6029651287810931,0.9789681755287608
53,143,1,1dpos,polar,onehot,RF,,,1000,40,5,1,sqrt,0.947894193213094,0.9781775054358568,0.0008527754706204,0.9790867760426962,8.839960377543491e-05,0.9759636291757264,0.0003853249395061,1.32,2.0,0.9792449100612768,0.6016513657807263,0.9790867760426962
54,144,1,1dpos,raw,5FTE,RF,,,800,20,5,1,sqrt,0.8217211345465788,0.978027278118205,0.000678140663469,0.9787705080055348,0.000108266961357,0.9764380312314688,0.0005830354300752,1.02,2.0,0.9788495750148252,0.5916326062118882,0.9787705080055348
55,145,1,1dpos,raw,WTE,RF,,,500,40,5,1,log2,0.859707009497915,0.9780509982209922,0.0006776701571586,0.9787705080055348,0.000108266961357,0.9764775647361136,0.0007262768559349,0.74,1.6,0.9788495750148252,0.5916326062118882,0.9787705080055348
56,146,1,1dpos,raw,onehot,RF,,,350,50,4,1,log2,0.8479524847440644,0.9780628582723858,0.0006383211456987,0.9788100415101798,0.0001653805152271,0.9766356987546946,0.0008547834872678,0.58,1.6,0.979047242538051,0.5920738309282122,0.9788100415101798
57,147,1,1dpos,zone,5FTE,RF,,,650,45,3,1,sqrt,0.6085822142387487,0.9783909863609408,0.0006675696204574,0.9788495750148252,0.0,0.9767938327732754,0.0009744026522131,0.98,2.0,0.9788495750148252,0.5931558935361216,0.9788495750148252
58,148,1,1dpos,zone,WTE,RF,,,550,15,5,1,log2,0.9224140757259862,0.9784542399683732,0.0008079823725657,0.9790867760426962,8.839960377543491e-05,0.9763984977268236,0.0008221638404066,0.7142857142857143,1.6,0.9792449100612768,0.5995425957690109,0.9790867760426962
59,149,1,1dpos,zone,onehot,RF,,,250,45,7,1,sqrt,0.8254675415979195,0.9771377742636884,0.0018674025321909,0.9785333069776636,0.0001767992075508,0.972682348290176,0.0023405036751319,0.4,1.6,0.9788495750148252,0.5870722433460076,0.9785333069776636
60,150,1,cyclic,2dpos,5FTE,RF,16.0,5000.0,300,30,3,1,sqrt,0.9040177174980256,0.9769717335441788,0.0012035246277426,0.9779007709033406,8.839960377548457e-05,0.974184621466693,0.000108266961357,0.54,1.8,0.9780589049219214,0.5744448820179772,0.9779007709033406
61,151,1,cyclic,2dpos,WTE,RF,16,5000,500,25,5,3,sqrt,0.6794819852111258,0.9768570863807077,0.0015419411430019003,0.9778612373986955,1.2412670766236366e-16,0.9728800158134018,0.0013935209908688935,0.86,1.6,0.9778612373986953,0.565444845406754,0.9778612373986955
