Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
20,320,0,cyclic,elliptic,onehot,NN,,,3,128,256.0,256.0,0.0088739546227693,500,0.4132137011638896,0.0001216782411596,0.972820715556434,0.0051305429996374,0.9769915002965014,0.0001767992075508,0.9652105159122356,1.2412670766236366e-16,0.44,1.2,0.9772682348290176,0.5477022101157261,0.9769915002965014
21,321,0,cyclic,polar,5FTE,NN,,,3,256,512.0,128.0,0.0059408656879874,500,0.177758959147477,7.031828616530445e-05,0.9733979047242536,0.0046701760624991,0.9767542992686302,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.52,1.0,0.9768728997825658,0.5486121359523548,0.9767542992686302
22,322,0,cyclic,polar,WTE,NN,,,3,128,128.0,256.0,0.0140284132814103,500,0.0210171365445775,7.453474159136739e-05,0.9718995848982012,0.0051244950909964,0.9765961652500492,0.0001767992075509,0.9652105159122356,1.2412670766236366e-16,0.3,1.2,0.9766752322593398,0.5418008348240906,0.9765961652500492
23,323,0,cyclic,polar,onehot,NN,,,3,512,256.0,512.0,0.0041742615967229,500,0.1069594840386992,0.0001909592016919,0.9736232457007312,0.0050987243493681,0.977544969361534,0.0001767992075508,0.9652105159122356,1.2412670766236366e-16,0.56,1.0,0.9778612373986952,0.5569404069767442,0.977544969361534
24,324,0,cyclic,raw,5FTE,NN,,,3,128,512.0,256.0,0.0081829023046187,400,0.2938838441085752,0.0001241250512513,0.9718165645384462,0.0049085934107537,0.976714765763985,0.000324800884071,0.9652105159122356,1.2412670766236366e-16,0.4,1.0,0.9772682348290176,0.5469942627633445,0.976714765763985
25,325,0,cyclic,raw,WTE,NN,,,1,128,,,0.0456752202027838,500,0.1689808634005897,0.0001207116291103,0.9723502668511564,0.004628422181246,0.9764775647361136,0.0002420922853116,0.9652105159122356,1.2412670766236366e-16,0.18,1.0,0.9768728997825658,0.538251804330393,0.9764775647361136
26,326,0,cyclic,raw,onehot,NN,,,3,512,512.0,128.0,0.0107224235457847,400,0.4528737302108346,0.0004157259359535,0.9724135204585886,0.0057783094036037,0.9782565724451472,0.0002420922853116,0.9652105159122356,1.2412670766236366e-16,0.24,1.0,0.9784542399683732,0.5839419047363437,0.9782565724451472
27,327,0,cyclic,zone,5FTE,NN,,,3,512,256.0,256.0,0.0092192820790159,500,0.3266595539075352,4.2851644076731456e-05,0.9709507807867166,0.0049779356475999,0.9765961652500492,0.0002997776415913,0.9652105159122356,1.2412670766236366e-16,0.3,1.0,0.9768728997825658,0.5402492867855015,0.9765961652500492
28,328,0,cyclic,zone,WTE,NN,,,2,512,512.0,,0.0114297673555638,500,0.3070054835169822,6.0161543846543566e-05,0.9730104763787308,0.0042866711841205,0.9767542992686302,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.52,1.0,0.9768728997825658,0.5434692336985398,0.9767542992686302
29,329,0,cyclic,zone,onehot,NN,,,2,128,256.0,,0.0214286401684141,300,0.099416018061989,8.655624397665015e-05,0.9740462542004348,0.0061802679399815,0.979284443565922,0.000216533922714,0.9652105159122356,1.2412670766236366e-16,0.1,1.0,0.9794425775845028,0.6095435936441435,0.979284443565922
