Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
134,6,cyclic,elliptic,onehot,NN,2,512,128,,,0.002396751,500,0.312659102,0.000358047,0.620327907
135,6,1dpos,raw,onehot,NN,2,128,256,,,0.008231053,500,0.399117495,0.000365199,0.515134297
136,6,1dpos,zone,onehot,NN,2,128,64,,,0.001469681,500,0.373643987,0.001018792,0.525989994
137,6,1dpos,2dpos,onehot,NN,1,128,,,,0.005583461,500,0.242611783,1.29E-05,0.463582904
138,6,1dpos,polar,onehot,NN,2,64,64,,,0.003661936,500,0.073148033,0.000761614,0.517047339
139,6,1dpos,elliptic,onehot,NN,2,128,256,,,0.005816715,500,0.483438942,0.000216994,0.518542007
140,7,raw,raw,onehot,NN,3,128,128,128,,0.006597885,500,0.272591619,0.00060813,0.627297595
141,7,raw,zone,onehot,NN,1,512,,,,0.007281346,300,0.049669965,0.001170007,0.619590639
142,7,raw,2dpos,onehot,NN,2,512,128,,,0.001860227,500,0.253222318,2.17E-05,0.601362505
143,7,raw,polar,onehot,NN,2,512,512,,,0.010137551,500,0.392867031,0.000509336,0.623475451
144,7,raw,elliptic,onehot,NN,3,512,64,128,,0.003146813,500,0.381851103,0.000314973,0.622240268
145,7,addDur,raw,onehot,NN,3,256,256,256,,0.016890299,300,0.207968522,0.000796764,0.622382958
146,7,addDur,zone,onehot,NN,3,64,256,256,,0.002460159,200,0.325356321,0.000833435,0.618052202
147,7,addDur,2dpos,onehot,NN,2,512,512,,,0.003113425,300,0.198069349,0.000341648,0.600417279
148,7,addDur,polar,onehot,NN,2,256,512,,,0.005449189,500,0.395647439,0.000245691,0.62565867
149,7,addDur,elliptic,onehot,NN,3,256,256,64,,0.002066798,500,0.254552881,0.000702663,0.619395141
150,7,cyclic,raw,onehot,NN,3,512,512,256,,0.00300453,500,0.235383728,0.001615856,0.62484748
151,7,cyclic,zone,onehot,NN,2,512,512,,,0.001120141,500,0.462463968,0.001176458,0.620698002
152,7,cyclic,2dpos,onehot,NN,2,256,128,,,0.002286699,500,0.256051671,3.28E-05,0.600916374
153,7,cyclic,polar,onehot,NN,2,128,128,,,0.014870859,500,0.211984268,0.000952468,0.623250555
154,7,cyclic,elliptic,onehot,NN,3,512,128,128,,0.00304983,500,0.416326472,0.000808621,0.620890039
155,7,1dpos,raw,onehot,NN,2,256,512,,,0.005274902,500,0.490148352,0.000741523,0.514768258
156,7,1dpos,zone,onehot,NN,2,64,128,,,0.002829251,300,0.330200744,0.000323146,0.525714192
