Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,obj
269,13,addDur,elliptic,onehot,RF,550,30,9,3,,0.633260041
270,13,cyclic,raw,onehot,RF,325,20,7,6,,0.635162137
271,13,cyclic,zone,onehot,RF,200,25,7,2,log2,0.616337005
272,13,cyclic,2dpos,onehot,RF,450,,7,3,sqrt,0.643932266
273,13,cyclic,polar,onehot,RF,400,15,6,1,,0.634533749
274,13,cyclic,elliptic,onehot,RF,325,40,8,3,,0.63479483
275,13,1dpos,raw,onehot,RF,900,,3,4,,0.550637267
276,13,1dpos,zone,onehot,RF,1000,40,4,2,sqrt,0.533927028
277,13,1dpos,2dpos,onehot,RF,400,20,8,1,log2,0.56666126
278,13,1dpos,polar,onehot,RF,550,60,2,1,log2,0.551822008
279,13,1dpos,elliptic,onehot,RF,550,65,4,2,log2,0.548740109
280,14,raw,raw,onehot,RF,200,95,2,2,sqrt,0.636226502
281,14,raw,zone,onehot,RF,575,20,5,1,sqrt,0.620331848
282,14,raw,2dpos,onehot,RF,850,85,5,1,log2,0.651549944
283,14,raw,polar,onehot,RF,325,35,3,2,,0.636579402
284,14,raw,elliptic,onehot,RF,200,55,9,1,,0.635406312
285,14,addDur,raw,onehot,RF,975,40,10,1,log2,0.636597517
286,14,addDur,zone,onehot,RF,825,80,2,2,sqrt,0.620820567
287,14,addDur,2dpos,onehot,RF,650,75,6,1,log2,0.650955103
288,14,addDur,polar,onehot,RF,125,50,8,3,,0.634592666
289,14,addDur,elliptic,onehot,RF,500,15,5,1,,0.634218633
290,14,cyclic,raw,onehot,RF,525,90,7,6,,0.633900793
291,14,cyclic,zone,onehot,RF,775,50,7,2,log2,0.615675915
292,14,cyclic,2dpos,onehot,RF,775,35,6,1,sqrt,0.644598133
293,14,cyclic,polar,onehot,RF,325,15,2,1,,0.635094899
294,14,cyclic,elliptic,onehot,RF,325,100,2,3,,0.633777628
295,14,1dpos,raw,onehot,RF,1000,20,5,2,,0.551327815
296,14,1dpos,zone,onehot,RF,775,70,3,2,sqrt,0.53261252
297,14,1dpos,2dpos,onehot,RF,825,,8,1,log2,0.5647912
298,14,1dpos,polar,onehot,RF,850,30,2,1,log2,0.550139749
299,14,1dpos,elliptic,onehot,RF,700,50,4,2,log2,0.550419641
300,15,raw,raw,onehot,RF,950,50,2,6,,0.633922181
301,15,raw,zone,onehot,RF,325,55,6,2,log2,0.619854246
302,15,raw,2dpos,onehot,RF,775,35,6,1,log2,0.650209855
303,15,raw,polar,onehot,RF,375,80,6,1,,0.636181636
304,15,raw,elliptic,onehot,RF,475,20,5,3,,0.63350456
305,15,addDur,raw,onehot,RF,800,45,10,1,sqrt,0.635114047
306,15,addDur,zone,onehot,RF,975,65,2,3,log2,0.62081572
307,15,addDur,2dpos,onehot,RF,875,40,2,2,sqrt,0.649596533
308,15,addDur,polar,onehot,RF,475,,4,2,,0.633624404
309,15,addDur,elliptic,onehot,RF,950,40,8,2,,0.633310352
310,15,cyclic,raw,onehot,RF,525,90,2,6,,0.634036716
311,15,cyclic,zone,onehot,RF,925,100,8,2,log2,0.616029148
312,15,cyclic,2dpos,onehot,RF,575,80,7,1,log2,0.643596775
313,15,cyclic,polar,onehot,RF,575,15,8,1,,0.633493342
314,15,cyclic,elliptic,onehot,RF,325,30,4,3,,0.63632548
315,15,1dpos,raw,onehot,RF,1000,50,2,2,,0.550776468
316,15,1dpos,zone,onehot,RF,1000,35,7,1,sqrt,0.529646431
317,15,1dpos,2dpos,onehot,RF,625,25,7,2,log2,0.565405758
318,15,1dpos,polar,onehot,RF,325,50,6,1,log2,0.550848954
319,15,1dpos,elliptic,onehot,RF,675,40,10,2,sqrt,0.548749115
