Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
74,3,cyclic,elliptic,onehot,XG,10,0.044052621,291,0.861925593,0.837905335,0.644478366
75,3,1dpos,raw,onehot,XG,10,0.040064518,259,0.943594905,0.752074801,0.574803851
76,3,1dpos,zone,onehot,XG,8,0.09511527,247,0.890213258,0.816416652,0.54379954
77,3,1dpos,2dpos,onehot,XG,11,0.134400032,300,0.892751519,0.706133107,0.57568392
78,3,1dpos,polar,onehot,XG,8,0.058617645,265,0.856327148,0.63291147,0.569014327
79,3,1dpos,elliptic,onehot,XG,11,0.120603457,189,0.932524481,0.602904545,0.567607728
80,4,raw,raw,onehot,XG,13,0.033713323,273,0.735455611,0.603751051,0.653532863
81,4,raw,zone,onehot,XG,5,0.05635032,103,0.818460882,0.833321689,0.618707903
82,4,raw,2dpos,onehot,XG,14,0.014175634,218,0.800520916,0.614652751,0.653122527
83,4,raw,polar,onehot,XG,11,0.034414796,174,0.787056354,0.690276782,0.64765201
84,4,raw,elliptic,onehot,XG,11,0.047797084,114,0.928538297,0.8730371,0.646876612
85,4,addDur,raw,onehot,XG,15,0.027984816,147,0.863618799,0.618843859,0.652393934
86,4,addDur,zone,onehot,XG,3,0.070330965,176,0.65182208,0.780572296,0.61818827
87,4,addDur,2dpos,onehot,XG,10,0.046626571,206,0.956335398,0.613693384,0.652169064
88,4,addDur,polar,onehot,XG,11,0.09159119,140,0.864871407,0.759859203,0.646399678
89,4,addDur,elliptic,onehot,XG,14,0.014126044,242,0.701626264,0.684465579,0.645596893
90,4,cyclic,raw,onehot,XG,10,0.033349427,288,0.745380645,0.65445532,0.654424389
91,4,cyclic,zone,onehot,XG,5,0.073472099,75,0.750845795,0.6713915,0.618381746
92,4,cyclic,2dpos,onehot,XG,11,0.019969688,219,0.834113288,0.667623933,0.652020233
93,4,cyclic,polar,onehot,XG,10,0.03464282,245,0.859476649,0.600095163,0.646448582
94,4,cyclic,elliptic,onehot,XG,11,0.029056259,266,0.788725069,0.721456863,0.64765406
95,4,1dpos,raw,onehot,XG,12,0.041726086,281,0.777185443,0.782314614,0.57382004
96,4,1dpos,zone,onehot,XG,9,0.059002186,282,0.85918042,0.663140372,0.547411124
97,4,1dpos,2dpos,onehot,XG,9,0.066728193,236,0.854113281,0.689895913,0.574908055
98,4,1dpos,polar,onehot,XG,10,0.038734787,246,0.747443196,0.651040831,0.568858541
