Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
196,9,1dpos,zone,catboost,CB,400,0.010985967,10,3.231056803,52,,0.525415304
197,9,1dpos,2dpos,catboost,CB,800,0.039716158,8,0.202252001,123,,0.555886231
198,9,1dpos,polar,catboost,CB,600,0.076673724,5,0.896830276,109,,0.542554889
199,9,1dpos,elliptic,catboost,CB,700,0.05715089,7,2.004528289,53,,0.542053539
200,10,raw,raw,catboost,CB,600,0.041346579,8,0.79737481,76,,0.641000193
201,10,raw,zone,catboost,CB,500,0.043301823,4,2.667114567,89,,0.615789365
202,10,raw,2dpos,catboost,CB,700,0.224226323,6,4.236811817,102,,0.640834769
203,10,raw,polar,catboost,CB,800,0.053252928,7,0.422908088,128,,0.636786793
204,10,raw,elliptic,catboost,CB,800,0.063090066,6,0.100656942,105,,0.635596057
205,10,addDur,raw,catboost,CB,500,0.110965649,7,2.832968481,97,,0.641024053
206,10,addDur,zone,catboost,CB,700,0.019612756,7,0.281734678,89,,0.617880624
207,10,addDur,2dpos,catboost,CB,800,0.045277075,6,0.81945824,80,,0.639003186
208,10,addDur,polar,catboost,CB,600,0.084351392,6,0.396708823,116,,0.637500006
209,10,addDur,elliptic,catboost,CB,300,0.210736769,6,8.504984317,62,,0.633776952
210,10,cyclic,raw,catboost,CB,600,0.139177011,5,8.286088874,127,,0.640653266
211,10,cyclic,zone,catboost,CB,400,0.018871491,6,0.246215937,98,,0.614757313
212,10,cyclic,2dpos,catboost,CB,600,0.074839792,5,1.363024213,113,,0.639451402
213,10,cyclic,polar,catboost,CB,700,0.056763081,6,0.570436107,98,,0.634361981
214,10,cyclic,elliptic,catboost,CB,600,0.031675605,7,0.287844825,55,,0.630658651
215,10,1dpos,raw,catboost,CB,800,0.062715685,5,2.973093595,123,,0.55367366
216,10,1dpos,zone,catboost,CB,500,0.037197539,7,2.735356804,78,,0.521072742
217,10,1dpos,2dpos,catboost,CB,800,0.040027304,8,0.354409711,86,,0.551283661
218,10,1dpos,polar,catboost,CB,700,0.135183033,5,4.627454351,115,,0.546468932
219,10,1dpos,elliptic,catboost,CB,600,0.045138255,7,0.271438881,102,,0.546450986
220,11,raw,raw,catboost,CB,700,0.094149234,7,6.485243175,102,,0.640378287
221,11,raw,zone,catboost,CB,700,0.013492516,7,0.789356247,107,,0.617695239
222,11,raw,2dpos,catboost,CB,300,0.15504781,6,0.85528688,75,,0.641269881
223,11,raw,polar,catboost,CB,700,0.074311407,7,5.336896914,126,,0.636840878
224,11,raw,elliptic,catboost,CB,800,0.049308867,5,0.206235357,128,,0.634516855
225,11,addDur,raw,catboost,CB,700,0.107519295,7,1.113739006,125,,0.640156156
226,11,addDur,zone,catboost,CB,300,0.067237372,5,1.838309905,73,,0.617199238
227,11,addDur,2dpos,catboost,CB,800,0.06546626,7,0.194565432,101,,0.642248487
228,11,addDur,polar,catboost,CB,800,0.059894618,6,0.114150529,69,,0.636600441
