sid,aid,routes,month,dow,dep,arr,nTrans,tway,OriLat,OriLon,DesLat,DesLon,OriZone,DesZone,oppo,typeD,nwDist,eucDist,caruse
174,,122,4,Monday,852.5,860.5,0,0,44.973746,-93.235586,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Home,0.52338094,0.523379639,0
175,,122,4,Monday,844,852,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
176,,122,4,Monday,884.5,893.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
177,,122,4,Monday,845,853,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,1,Home,0.727050468,0.727048661,0
178,,122,4,Monday,877.5,887.5,0,0,44.970998,-93.245561,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Home,0.956007028,0.956004651,0
179,,122,4,Monday,839.5,849.5,0,0,44.976759,-93.229845,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Home,0.865407744,0.865405593,0
180,,122,4,Monday,842.5,848.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,Home,0.402700565,0.402699564,0
181,,122,4,Monday,843.5,851.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
182,,122,4,Monday,846,856,0,0,44.970998,-93.245561,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Home,0.956007028,0.956004651,0
183,,122,4,Monday,908,918,0,0,44.975235,-93.226948,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.956007028,0.956004651,0
184,,122,4,Monday,906.5,915.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
185,,122,4,Monday,950,959,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
186,,122,4,Monday,904,914,0,0,44.970998,-93.245561,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
187,,122,4,Monday,911,919,0,0,44.975235,-93.226948,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Ed,0.837313705,0.837311624,0
188,,122,4,Monday,905.5,913.5,0,0,44.973746,-93.235586,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Home,0.52338094,0.523379639,0
189,,122,4,Monday,916,924,0,0,44.973746,-93.235586,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Home,0.52338094,0.523379639,0
190,,122,4,Monday,905,914,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,So,0.741646512,0.741644668,0
191,,122,4,Monday,923,932,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,W,0.741646512,0.741644668,0
193,,122,4,Monday,903.5,909.5,0,0,44.978986,-93.235429,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Home,0.489005826,0.48900461,0
194,,122,4,Monday,912,921,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.512331357,0.512330083,0
195,,122,4,Monday,946,953,0,0,44.975235,-93.226948,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.43470383,0.434702749,0
198,,122,4,Monday,964,973,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,So,0.741646512,0.741644668,0
199,,122,4,Monday,985,993,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
200,,122_121,4,Monday,969.22,991.78,1,0,44.980616,-93.239529,44.980662,-93.180644,Univ of Minnesota,Univ of Minnesota,1,Ed,3.014129203,2.879171003,0
201,,122,4,Monday,962.5,968.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,Home,0.402700565,0.402699564,0
203,,122,4,Monday,983.5,991.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
204,,122,4,Monday,967,974,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.543341175,0.543339825,0
206,,122,4,Tuesday,439.5,451.5,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.727050468,0.727048661,0
207,,122,4,Tuesday,463,472,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,1,Ed,0.741646512,0.741644668,0
208,,122,4,Tuesday,463,472,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
210,,122,4,Tuesday,418,425,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.543341175,0.543339825,0
211,,122,4,Tuesday,427,436,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.512331357,0.512330083,0
212,,122,4,Tuesday,422,432,0,0,44.976759,-93.229845,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
213,,122,4,Tuesday,504.5,513.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
215,,122_121,4,Tuesday,514.22,539.78,1,0,44.980616,-93.239529,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,0,Ed,3.024559835,2.843036412,0
