globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom
468,0,1dpos,2dpos,5FTE,XG,8,2500
469,0,1dpos,2dpos,5FTE,XG,8,5000
470,0,1dpos,2dpos,5FTE,XG,8,10000
471,0,1dpos,2dpos,5FTE,XG,16,2500
472,0,1dpos,2dpos,5FTE,XG,16,5000
473,0,1dpos,2dpos,5FTE,XG,16,10000
474,0,1dpos,2dpos,5FTE,XG,24,2500
475,0,1dpos,2dpos,5FTE,XG,24,5000
476,0,1dpos,2dpos,5FTE,XG,24,10000
477,0,1dpos,2dpos,WTE,XG,8,2500
478,0,1dpos,2dpos,WTE,XG,8,5000
479,0,1dpos,2dpos,WTE,XG,8,10000
480,0,1dpos,2dpos,WTE,XG,16,2500
481,0,1dpos,2dpos,WTE,XG,16,5000
482,0,1dpos,2dpos,WTE,XG,16,10000
483,0,1dpos,2dpos,WTE,XG,24,2500
484,0,1dpos,2dpos,WTE,XG,24,5000
485,0,1dpos,2dpos,WTE,XG,24,10000
486,0,1dpos,2dpos,onehot,XG,8,2500
487,0,1dpos,2dpos,onehot,XG,8,5000
488,0,1dpos,2dpos,onehot,XG,8,10000
489,0,1dpos,2dpos,onehot,XG,16,2500
490,0,1dpos,2dpos,onehot,XG,16,5000
491,0,1dpos,2dpos,onehot,XG,16,10000
492,0,1dpos,2dpos,onehot,XG,24,2500
493,0,1dpos,2dpos,onehot,XG,24,5000
494,0,1dpos,2dpos,onehot,XG,24,10000
495,0,1dpos,elliptic,5FTE,XG,,
496,0,1dpos,elliptic,WTE,XG,,
497,0,1dpos,elliptic,onehot,XG,,
498,0,1dpos,polar,5FTE,XG,,
499,0,1dpos,polar,WTE,XG,,
500,0,1dpos,polar,onehot,XG,,
501,0,1dpos,raw,5FTE,XG,,
502,0,1dpos,raw,WTE,XG,,
503,0,1dpos,raw,onehot,XG,,
504,0,1dpos,zone,5FTE,XG,,
505,0,1dpos,zone,WTE,XG,,
506,0,1dpos,zone,onehot,XG,,
507,0,cyclic,2dpos,5FTE,XG,8,2500
508,0,cyclic,2dpos,5FTE,XG,8,5000
509,0,cyclic,2dpos,5FTE,XG,8,10000
510,0,cyclic,2dpos,5FTE,XG,16,2500
511,0,cyclic,2dpos,5FTE,XG,16,5000
512,0,cyclic,2dpos,5FTE,XG,16,10000
513,0,cyclic,2dpos,5FTE,XG,24,2500
514,0,cyclic,2dpos,5FTE,XG,24,5000
515,0,cyclic,2dpos,5FTE,XG,24,10000
516,0,cyclic,2dpos,WTE,XG,8,2500
517,0,cyclic,2dpos,WTE,XG,8,5000
518,0,cyclic,2dpos,WTE,XG,8,10000
519,0,cyclic,2dpos,WTE,XG,16,2500
520,0,cyclic,2dpos,WTE,XG,16,5000
521,0,cyclic,2dpos,WTE,XG,16,10000
522,0,cyclic,2dpos,WTE,XG,24,2500
523,0,cyclic,2dpos,WTE,XG,24,5000
524,0,cyclic,2dpos,WTE,XG,24,10000
525,0,cyclic,2dpos,onehot,XG,8,2500
526,0,cyclic,2dpos,onehot,XG,8,5000
527,0,cyclic,2dpos,onehot,XG,8,10000
528,0,cyclic,2dpos,onehot,XG,16,2500
529,0,cyclic,2dpos,onehot,XG,16,5000
530,0,cyclic,2dpos,onehot,XG,16,10000
531,0,cyclic,2dpos,onehot,XG,24,2500
532,0,cyclic,2dpos,onehot,XG,24,5000
533,0,cyclic,2dpos,onehot,XG,24,10000
534,0,cyclic,elliptic,5FTE,XG,,
535,0,cyclic,elliptic,WTE,XG,,
536,0,cyclic,elliptic,onehot,XG,,
537,0,cyclic,polar,5FTE,XG,,
