Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
70,850,0,cyclic,polar,WTE,NN,,,3,256,512,128,0.00525508,300,0.218351884,0.000477202,0.604234038,0.013473725,0.616841273,0.001262599,0.572287013,0.018107036,4.4,8.4,0.61850168,0.64675189,0.561454833
71,851,0,cyclic,polar,onehot,NN,,,2,256,128,,0.003125316,500,0.214957997,2.20E-05,0.601031824,0.013601965,0.61375766,0.002840504,0.567977861,0.017420891,3.42,6.8,0.617908678,0.646956746,0.553192331
72,852,0,cyclic,raw,5FTE,NN,,,3,256,512,128,0.00482388,500,0.085806217,0.000529512,0.59465507,0.01286106,0.608420636,0.003590809,0.565645384,0.006016046,5.34,10.2,0.614745997,0.643932491,0.55161099
73,853,0,cyclic,raw,WTE,NN,,,2,128,512,,0.00889463,400,0.198894339,0.000261737,0.593152797,0.015286063,0.608815972,0.00189596,0.557896818,0.017411917,3.98,11.4,0.611583317,0.645981642,0.554734137
74,854,0,cyclic,raw,onehot,NN,,,3,256,512,512,0.003469182,500,0.203434725,0.000978045,0.593227911,0.011740717,0.608302036,0.003436801,0.569598735,0.006363237,5.98,12.2,0.613164657,0.645374976,0.546946037
75,855,0,cyclic,zone,5FTE,NN,,,3,512,128,512,0.005384068,500,0.318294632,0.000208,0.604194505,0.014123507,0.61759241,0.006147746,0.578651907,0.032773669,5.7,14,0.626803716,0.648220804,0.558134019
76,856,0,cyclic,zone,WTE,NN,,,1,512,,,0.017489284,400,0.092196256,0.000274925,0.603249654,0.008545443,0.614034394,0.001199111,0.584147065,0.008136126,2.92,6.2,0.615536667,0.648522752,0.556355011
77,857,0,cyclic,zone,onehot,NN,,,1,512,,,0.013466498,400,0.149069843,0.000300922,0.607218818,0.00759895,0.618580747,0.001308195,0.591618897,0.002742526,2.56,5.6,0.620676023,0.646004422,0.555959676
78,858,0,raw,2dpos,5FTE,NN,8,2500,2,512,128,,0.00477745,300,0.448974205,0.000171191,0.606993477,0.010132311,0.619569085,0.001429507,0.583909864,0.005840398,3.92,9.4,0.620676023,0.64039483,0.552638861
79,859,0,raw,2dpos,5FTE,NN,8,5000,3,256,256,256,0.001678306,300,0.468742435,0.000142836,0.60604072,0.010889117,0.618264479,0.002765227,0.582723858,0.018701792,4.04,7.6,0.621664361,0.639286621,0.549634315
