Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
177,1191,1,cyclic,2dpos,onehot,LR,16.0,2500.0,16.476099829982736,l1,balanced,0.5707056730579166,0.0205433372701591,0.5776240363708244,0.0001653805152271,0.520419055149239,0.040523626050923,0.0,0.0,0.577782170389405,0.6389678310672229,0.5182051788891084
49,1063,0,cyclic,2dpos,WTE,LR,8.0,5000.0,63.69084527140812,l1,balanced,0.558070764973315,0.0367806885039951,0.5666732555841075,0.0001653805152271,0.4940106740462542,0.104188355788456,0.0,0.0,0.5669104566119787,0.6394459081292798,0.5112077485669105
178,1192,1,cyclic,2dpos,onehot,LR,16.0,5000.0,3191.8540998828034,l1,,0.5701403439414904,0.021443560657329,0.5775845028661791,0.0001397720460934,0.5138960268827832,0.0349908925759785,0.0,0.0,0.577782170389405,0.6388345572914673,0.5180470448705277
179,1193,1,cyclic,2dpos,onehot,LR,16.0,10000.0,59.04398128780221,l1,,0.5688989918956316,0.0376725638779264,0.577782170389405,0.0,0.4998616327337418,0.1037066574199684,0.0,0.0,0.577782170389405,0.638788642511764,0.5182051788891086
50,1064,0,cyclic,2dpos,WTE,LR,8.0,10000.0,1262.9876672442592,l1,balanced,0.5574184621466692,0.0368211521361649,0.5666732555841075,0.0001653805152271,0.4913223957303815,0.1024409531443136,0.0,0.0,0.5669104566119787,0.6398235610602059,0.5112868155762009
180,1194,1,cyclic,2dpos,onehot,LR,24.0,2500.0,1.0503866893239888,l1,balanced,0.5680608815971536,0.0405301690234266,0.579719312117019,0.0001653805152271,0.4796600118600514,0.0957560527941467,0.0,0.0,0.5799565131448903,0.641941850583397,0.5239770705673058
51,1065,0,cyclic,2dpos,WTE,LR,16.0,2500.0,7.850304907312914,l1,,0.5706977663569875,0.0184678530344053,0.5777426368847599,0.0004285329786258,0.5288001581340186,0.0413123704873331,0.02,0.2,0.5783751729590828,0.636836611336513,0.5214073927653687
181,1195,1,cyclic,2dpos,onehot,LR,24.0,5000.0,0.0699908230733395,l2,,0.5687210911247282,0.0387538928054702,0.5797983791263095,8.839960377543491e-05,0.4909665941885749,0.0992036368088041,0.0,0.0,0.5799565131448903,0.6422778694441187,0.5239375370626606
182,1196,1,cyclic,2dpos,onehot,LR,24.0,10000.0,0.064039778999681,l2,,0.5665032615141332,0.0406430736396516,0.5795216445937933,0.000324800884071,0.4770508005534691,0.0943102598220688,0.0,0.0,0.5799565131448903,0.6412025931986464,0.5233445344929828
183,1197,1,cyclic,elliptic,5FTE,LR,,,7.666855757025535,l2,balanced,0.5451591223561969,0.0205332024098654,0.5514923898003558,0.0003423701932336,0.4964222178296106,0.042996344131236,0.0,0.0,0.5520853923700336,0.6376791768495911,0.5017987744613559
52,1066,0,cyclic,2dpos,WTE,LR,16.0,5000.0,6.893290540817816,l1,balanced,0.5633484878434474,0.0511356695609211,0.5773077683336628,0.0004550648125408,0.4570468472030045,0.1277191803516551,0.0,0.0,0.577782170389405,0.6369846542940041,0.5213283257560783
184,1198,1,cyclic,elliptic,WTE,LR,,,349.129006008912,l2,balanced,0.5462818738881201,0.0235430797657197,0.5513737892864203,0.000108266961357,0.5042498517493577,0.0658367881620199,0.0,0.0,0.5514923898003558,0.637778037562917,0.5016406404427752
53,1067,0,cyclic,2dpos,WTE,LR,16.0,10000.0,18.59731843845882,l1,,0.5677683336627792,0.0376451263146209,0.5775449693615339,0.0004285329786258,0.5046056532911642,0.1085333672963557,0.0,0.0,0.5781775054358569,0.6374307101879889,0.5213678592607235
185,1199,1,cyclic,elliptic,onehot,LR,,,13.117726179159158,l2,balanced,0.5453607432298874,0.0330060069977791,0.5515319233050009,8.839960377548457e-05,0.4961059497924491,0.099857849120992,0.0,0.0,0.5516900573235818,0.6377404197837689,0.5018383079660012
186,1200,1,cyclic,polar,5FTE,LR,,,4.787242990501799,l1,balanced,0.5364736113856494,0.0355691819413146,0.5472227712986756,0.0001767992075509,0.4565329116426171,0.0806837813481057,0.0,0.0,0.5473413718126112,0.6353982672754989,0.496105949792449
54,1068,0,cyclic,2dpos,WTE,LR,24.0,2500.0,7128.613946267528,l2,,0.5770666139553271,0.0135751476995568,0.5821703894050209,0.000324800884071,0.5444554259735125,0.027480620336001,0.14,1.0,0.5827238584700534,0.6432945438904051,0.5252026092113065
187,1201,1,cyclic,polar,WTE,LR,,,1.9409947694725729,l1,balanced,0.5361573433484879,0.0347945054064733,0.5472623048033208,0.0002651988113263,0.460723463135007,0.0813339288973449,0.0,0.0,0.5477367068590631,0.6347863691136644,0.4960268827831587
